Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-1076,2024-12-01,2024-12-02,Standard Class,CUS-1502,Customer_450,Corporate,Central,Furniture,Table,Table - Furniture,1221.36,3,0.05,177.88
ORD-1077,2024-03-31,2024-04-03,First Class,CUS-1288,Customer_478,Home Office,North,Office Supplies,Binders,Binders - Office Supplies,567.23,8,0.0,269.84
ORD-1078,2024-07-11,2024-07-15,Standard Class,CUS-1521,Customer_5,Consumer,East,Technology,Laptop,Laptop - Technology,2716.61,3,0.0,717.13
ORD-1079,2024-05-14,2024-05-20,Same Day,CUS-1046,Customer_324,Consumer,South,Furniture,Bookshelf,Bookshelf - Furniture,1512.4,4,0.1,166.73
ORD-1080,2024-04-23,2024-04-28,Same Day,CUS-1253,Customer_330,Home Office,North,Furniture,Table,Table - Furniture,2405.3,4,0.05,511.89
ORD-1081,2024-05-21,2024-05-27,Standard Class,CUS-1827,Customer_171,Corporate,North,Furniture,Desk,Desk - Furniture,1816.49,4,0.1,167.93
ORD-1082,2024-09-30,2024-10-04,Same Day,CUS-1295,Customer_297,Consumer,West,Technology,Printer,Printer - Technology,2243.17,3,0.05,633.53
ORD-1083,2024-02-18,2024-02-25,Second Class,CUS-1370,Customer_424,Corporate,Central,Technology,Printer,Printer - Technology,2026.23,2,0.0,430.15
ORD-1084,2023-10-23,2023-10-30,Same Day,CUS-1536,Customer_90,Corporate,East,Technology,Printer,Printer - Technology,55.33,1,0.0,12.7
ORD-1085,2022-03-16,2022-03-22,First Class,CUS-1181,Customer_152,Corporate,North,Furniture,Desk,Desk - Furniture,510.95,1,0.0,121.05
ORD-1086,2022-01-25,2022-02-01,Standard Class,CUS-1048,Customer_455,Consumer,East,Furniture,Bookshelf,Bookshelf - Furniture,882.93,3,0.0,116.46
ORD-1087,2024-04-28,2024-05-02,Second Class,CUS-1140,Customer_478,Corporate,South,Technology,Laptop,Laptop - Technology,3589.22,3,0.05,917.49
ORD-1088,2022-08-03,2022-08-06,Standard Class,CUS-1193,Customer_476,Consumer,Central,Office Supplies,Binders,Binders - Office Supplies,486.46,8,0.0,215.41
ORD-1089,2022-04-24,2022-04-30,Same Day,CUS-1978,Customer_366,Consumer,South,Furniture,Table,Table - Furniture,152.85,1,0.1,19.38
ORD-1090,2022-06-11,2022-06-15,Standard Class,CUS-1766,Customer_328,Home Office,West,Technology,Monitor,Monitor - Technology,684.48,1,0.0,129.52
ORD-1091,2024-12-13,2024-12-14,Standard Class,CUS-1119,Customer_302,Home Office,North,Office Supplies,Folders,Folders - Office Supplies,115.58,8,0.0,51.37
ORD-1092,2023-05-06,2023-05-10,Second Class,CUS-1914,Customer_36,Home Office,West,Technology,Printer,Printer - Technology,2688.87,3,0.15,398.95
ORD-1093,2023-12-01,2023-12-03,Second Class,CUS-1260,Customer_293,Home Office,Central,Furniture,Chair,Chair - Furniture,1097.35,3,0.05,146.17
ORD-1094,2024-07-22,2024-07-28,Same Day,CUS-1631,Customer_59,Home Office,Central,Technology,Mouse,Mouse - Technology,1856.29,2,0.0,600.87
ORD-1095,2022-05-08,2022-05-09,Standard Class,CUS-1277,Customer_235,Corporate,East,Furniture,Table,Table - Furniture,2356.77,4,0.05,297.11
ORD-1096,2023-05-09,2023-05-13,Second Class,CUS-1041,Customer_356,Consumer,Central,Furniture,Desk,Desk - Furniture,1734.69,3,0.15,264.59
ORD-1097,2022-02-10,2022-02-16,Second Class,CUS-1026,Customer_313,Consumer,Central,Furniture,Chair,Chair - Furniture,1208.28,2,0.0,146.21
ORD-1098,2023-10-08,2023-10-11,Standard Class,CUS-1701,Customer_122,Consumer,Central,Furniture,Cabinet,Cabinet - Furniture,1503.92,3,0.15,205.37
ORD-1099,2022-05-10,2022-05-14,Standard Class,CUS-1010,Customer_164,Home Office,East,Furniture,Table,Table - Furniture,2558.76,4,0.0,577.16
ORD-1100,2022-07-06,2022-07-13,Second Class,CUS-1848,Customer_446,Consumer,Central,Office Supplies,Paper,Paper - Office Supplies,225.14,4,0.0,105.43
ORD-1101,2022-12-31,2023-01-03,Standard Class,CUS-1938,Customer_104,Corporate,West,Furniture,Chair,Chair - Furniture,152.6,1,0.1,23.94
ORD-1102,2022-02-11,2022-02-12,Standard Class,CUS-1043,Customer_443,Corporate,North,Office Supplies,Binders,Binders - Office Supplies,92.56,3,0.05,32.73
ORD-1103,2024-03-27,2024-04-01,Standard Class,CUS-1990,Customer_149,Home Office,East,Technology,Mouse,Mouse - Technology,449.13,3,0.2,108.4
ORD-1104,2023-01-09,2023-01-15,First Class,CUS-1015,Customer_199,Home Office,East,Technology,Mouse,Mouse - Technology,218.67,2,0.1,31.26
ORD-1105,2023-02-05,2023-02-12,Second Class,CUS-1497,Customer_315,Home Office,West,Furniture,Bookshelf,Bookshelf - Furniture,1764.58,3,0.0,421.13
ORD-1106,2023-12-28,2024-01-02,First Class,CUS-1619,Customer_188,Corporate,North,Furniture,Cabinet,Cabinet - Furniture,1102.37,2,0.1,153.49
ORD-1107,2022-05-11,2022-05-16,First Class,CUS-1721,Customer_161,Home Office,South,Office Supplies,Paper,Paper - Office Supplies,450.01,8,0.1,147.32
ORD-1108,2022-01-16,2022-01-21,First Class,CUS-1273,Customer_416,Home Office,West,Furniture,Cabinet,Cabinet - Furniture,1586.48,2,0.0,202.79
ORD-1109,2024-11-28,2024-12-04,Standard Class,CUS-1925,Customer_409,Corporate,Central,Technology,Laptop,Laptop - Technology,717.87,1,0.0,164.86
ORD-1110,2022-12-06,2022-12-11,Second Class,CUS-1431,Customer_193,Consumer,North,Technology,Laptop,Laptop - Technology,2061.49,2,0.1,496.9
ORD-1111,2024-08-06,2024-08-12,Same Day,CUS-1938,Customer_380,Consumer,East,Office Supplies,Pens,Pens - Office Supplies,102.94,4,0.15,40.01
ORD-1112,2023-12-11,2023-12-18,Standard Class,CUS-1574,Customer_310,Corporate,Central,Office Supplies,Binders,Binders - Office Supplies,694.13,7,0.0,339.11
ORD-1113,2024-06-03,2024-06-06,Standard Class,CUS-1516,Customer_261,Corporate,North,Technology,Mouse,Mouse - Technology,184.48,2,0.2,46.53
ORD-1114,2022-02-23,2022-03-02,Same Day,CUS-1061,Customer_145,Home Office,East,Office Supplies,Pens,Pens - Office Supplies,21.52,1,0.0,9.72
ORD-1115,2022-08-04,2022-08-07,Standard Class,CUS-1951,Customer_323,Home Office,Central,Office Supplies,Folders,Folders - Office Supplies,810.16,9,0.15,269.59
ORD-1116,2023-09-27,2023-10-01,Second Class,CUS-1954,Customer_226,Consumer,North,Technology,Laptop,Laptop - Technology,1961.89,2,0.1,459.38
ORD-1117,2024-09-10,2024-09-14,Second Class,CUS-1972,Customer_81,Corporate,Central,Office Supplies,Binders,Binders - Office Supplies,578.41,6,0.0,277.0
ORD-1118,2024-11-29,2024-12-04,First Class,CUS-1288,Customer_262,Corporate,North,Furniture,Bookshelf,Bookshelf - Furniture,2253.91,4,0.05,491.78
ORD-1119,2022-08-04,2022-08-07,Standard Class,CUS-1666,Customer_422,Consumer,North,Technology,Keyboard,Keyboard - Technology,973.48,3,0.15,141.63
ORD-1120,2023-12-01,2023-12-08,Standard Class,CUS-1436,Customer_158,Corporate,Central,Technology,Keyboard,Keyboard - Technology,3182.8,3,0.0,999.36
ORD-1121,2022-03-23,2022-03-27,Second Class,CUS-1359,Customer_223,Home Office,Central,Furniture,Bookshelf,Bookshelf - Furniture,635.48,4,0.0,116.91
ORD-1122,2024-05-15,2024-05-19,First Class,CUS-1334,Customer_222,Corporate,North,Technology,Keyboard,Keyboard - Technology,1094.15,2,0.15,212.45
ORD-1123,2022-02-06,2022-02-11,Same Day,CUS-1885,Customer_193,Corporate,South,Furniture,Cabinet,Cabinet - Furniture,649.39,3,0.1,120.56
ORD-1124,2022-01-22,2022-01-24,Same Day,CUS-1028,Customer_395,Corporate,West,Office Supplies,Paper,Paper - Office Supplies,266.08,4,0.05,95.23
ORD-1125,2024-11-22,2024-11-28,First Class,CUS-1396,Customer_489,Corporate,North,Office Supplies,Binders,Binders - Office Supplies,61.99,2,0.2,19.1
ORD-1126,2022-02-08,2022-02-15,Same Day,CUS-1706,Customer_337,Home Office,Central,Office Supplies,Folders,Folders - Office Supplies,156.84,2,0.0,51.17
ORD-1127,2024-01-18,2024-01-22,Same Day,CUS-1569,Customer_380,Home Office,Central,Technology,Printer,Printer - Technology,1848.22,2,0.05,372.92
ORD-1128,2024-07-22,2024-07-29,Standard Class,CUS-1583,Customer_60,Consumer,North,Furniture,Bookshelf,Bookshelf - Furniture,1431.87,4,0.15,208.1
ORD-1129,2023-03-06,2023-03-07,First Class,CUS-1939,Customer_181,Home Office,Central,Technology,Printer,Printer - Technology,1319.82,2,0.0,408.3
ORD-1130,2023-01-13,2023-01-16,Same Day,CUS-1830,Customer_214,Corporate,East,Furniture,Chair,Chair - Furniture,1604.86,4,0.0,278.83
ORD-1131,2024-10-10,2024-10-15,Standard Class,CUS-1606,Customer_166,Consumer,North,Technology,Mouse,Mouse - Technology,133.31,1,0.0,32.79
ORD-1132,2022-01-11,2022-01-16,Standard Class,CUS-1888,Customer_46,Corporate,South,Technology,Laptop,Laptop - Technology,1807.75,3,0.0,358.67
ORD-1133,2023-08-15,2023-08-21,Second Class,CUS-1800,Customer_233,Consumer,South,Furniture,Cabinet,Cabinet - Furniture,427.36,4,0.0,75.92
ORD-1134,2023-08-12,2023-08-16,Second Class,CUS-1871,Customer_459,Corporate,West,Furniture,Desk,Desk - Furniture,1350.02,2,0.0,270.76
ORD-1135,2022-11-13,2022-11-16,First Class,CUS-1317,Customer_84,Home Office,East,Office Supplies,Pens,Pens - Office Supplies,651.25,9,0.15,245.13
ORD-1136,2022-04-21,2022-04-24,Second Class,CUS-1873,Customer_14,Corporate,South,Office Supplies,Binders,Binders - Office Supplies,287.82,6,0.1,104.98
ORD-1137,2024-08-28,2024-08-30,Standard Class,CUS-1684,Customer_392,Consumer,South,Furniture,Cabinet,Cabinet - Furniture,531.02,1,0.0,90.55
ORD-1138,2022-11-05,2022-11-12,Second Class,CUS-1642,Customer_412,Corporate,West,Office Supplies,Staplers,Staplers - Office Supplies,80.11,3,0.2,31.72
ORD-1139,2024-01-25,2024-01-28,Same Day,CUS-1403,Customer_293,Home Office,East,Technology,Printer,Printer - Technology,1048.51,1,0.1,281.72
ORD-1140,2023-05-31,2023-06-04,Standard Class,CUS-1511,Customer_228,Corporate,South,Furniture,Cabinet,Cabinet - Furniture,1515.22,3,0.05,300.54
ORD-1141,2023-08-01,2023-08-08,First Class,CUS-1551,Customer_21,Home Office,West,Furniture,Cabinet,Cabinet - Furniture,1477.31,2,0.0,285.78
ORD-1142,2024-06-29,2024-06-30,First Class,CUS-1317,Customer_316,Corporate,South,Office Supplies,Paper,Paper - Office Supplies,44.39,2,0.15,15.03
ORD-1143,2023-01-16,2023-01-23,First Class,CUS-1162,Customer_229,Corporate,South,Furniture,Chair,Chair - Furniture,1112.97,2,0.0,177.92
ORD-1144,2022-09-18,2022-09-25,First Class,CUS-1591,Customer_458,Consumer,South,Technology,Monitor,Monitor - Technology,959.63,3,0.15,194.46
ORD-1145,2024-04-23,2024-04-29,Same Day,CUS-1106,Customer_421,Home Office,Central,Technology,Laptop,Laptop - Technology,340.41,1,0.0,76.89
ORD-1146,2023-11-18,2023-11-23,First Class,CUS-1641,Customer_457,Home Office,East,Technology,Laptop,Laptop - Technology,573.43,2,0.0,116.95
ORD-1147,2023-05-26,2023-05-31,First Class,CUS-1690,Customer_206,Home Office,East,Furniture,Bookshelf,Bookshelf - Furniture,452.01,2,0.0,52.21
ORD-1148,2024-11-01,2024-11-03,Second Class,CUS-1183,Customer_495,Home Office,North,Technology,Mouse,Mouse - Technology,843.2,2,0.2,179.45
ORD-1149,2023-03-03,2023-03-05,Same Day,CUS-1340,Customer_129,Home Office,South,Office Supplies,Staplers,Staplers - Office Supplies,287.78,4,0.0,125.09
ORD-1150,2024-10-11,2024-10-16,First Class,CUS-1144,Customer_26,Consumer,West,Furniture,Bookshelf,Bookshelf - Furniture,2283.69,3,0.1,358.81
ORD-1151,2022-10-30,2022-10-31,Standard Class,CUS-1360,Customer_90,Consumer,South,Office Supplies,Pens,Pens - Office Supplies,283.15,3,0.15,104.31
ORD-1152,2024-10-06,2024-10-12,Standard Class,CUS-1609,Customer_381,Consumer,East,Office Supplies,Pens,Pens - Office Supplies,122.36,9,0.0,39.38
ORD-1153,2023-05-09,2023-05-13,Standard Class,CUS-1821,Customer_455,Corporate,West,Furniture,Table,Table - Furniture,322.04,1,0.15,42.8
ORD-1154,2023-12-26,2024-01-02,First Class,CUS-1735,Customer_497,Home Office,West,Technology,Monitor,Monitor - Technology,487.48,1,0.05,124.71
ORD-1155,2022-10-18,2022-10-22,Same Day,CUS-1084,Customer_282,Home Office,North,Furniture,Desk,Desk - Furniture,1099.61,2,0.1,173.25
ORD-1156,2022-11-24,2022-11-26,Second Class,CUS-1299,Customer_228,Consumer,Central,Furniture,Cabinet,Cabinet - Furniture,366.14,1,0.0,68.48
ORD-1157,2024-02-22,2024-02-25,First Class,CUS-1123,Customer_399,Home Office,South,Office Supplies,Paper,Paper - Office Supplies,117.99,5,0.0,50.68
ORD-1158,2024-03-03,2024-03-07,Standard Class,CUS-1372,Customer_52,Consumer,South,Office Supplies,Binders,Binders - Office Supplies,140.9,6,0.0,59.67
ORD-1159,2023-05-09,2023-05-12,Same Day,CUS-1344,Customer_350,Corporate,North,Technology,Monitor,Monitor - Technology,1747.15,2,0.0,406.58
ORD-1160,2024-11-28,2024-12-03,Second Class,CUS-1384,Customer_172,Consumer,West,Office Supplies,Pens,Pens - Office Supplies,771.82,8,0.05,338.17
ORD-1161,2023-07-13,2023-07-16,Second Class,CUS-1681,Customer_72,Consumer,South,Technology,Printer,Printer - Technology,793.6,1,0.0,176.3
ORD-1162,2022-06-01,2022-06-02,Same Day,CUS-1914,Customer_164,Corporate,Central,Furniture,Table,Table - Furniture,2087.47,3,0.1,416.0
ORD-1163,2024-09-19,2024-09-26,Same Day,CUS-1804,Customer_143,Home Office,East,Furniture,Bookshelf,Bookshelf - Furniture,862.05,2,0.05,103.82
ORD-1164,2023-02-23,2023-02-27,Second Class,CUS-1596,Customer_146,Consumer,West,Office Supplies,Binders,Binders - Office Supplies,469.74,9,0.2,122.99
ORD-1165,2023-09-29,2023-10-06,Same Day,CUS-1166,Customer_109,Home Office,North,Technology,Laptop,Laptop - Technology,339.45,2,0.1,81.17
ORD-1166,2024-10-02,2024-10-06,Standard Class,CUS-1560,Customer_316,Home Office,South,Technology,Laptop,Laptop - Technology,310.65,1,0.0,50.91
ORD-1167,2024-08-13,2024-08-18,Second Class,CUS-1613,Customer_209,Home Office,West,Office Supplies,Folders,Folders - Office Supplies,69.24,3,0.0,26.01
ORD-1168,2022-12-20,2022-12-27,Same Day,CUS-1207,Customer_106,Corporate,South,Furniture,Cabinet,Cabinet - Furniture,222.71,1,0.1,26.09
ORD-1169,2023-03-22,2023-03-28,Same Day,CUS-1516,Customer_468,Home Office,East,Technology,Monitor,Monitor - Technology,639.68,2,0.0,115.45
ORD-1170,2022-12-30,2022-12-31,Second Class,CUS-1459,Customer_38,Corporate,South,Technology,Printer,Printer - Technology,1912.17,2,0.15,441.6
